lemma	PoS
the	a
be	v
and	c
a	a
of	i
to	t
in	i
i	p
you	p
it	p
have	v
to	i
that	c
for	i
do	v
he	p
with	i
on	i
this	d
n't	x
we	p
that	d
not	x
but	c
they	p
say	v
at	i
what	d
his	a
from	i
go	v
or	c
by	i
get	v
she	p
my	a
can	v
as	c
know	v
if	c
me	p
your	a
all	d
who	p
about	i
their	a
will	v
so	r
would	v
make	v
just	r
up	r
think	v
time	n
there	e
see	v
her	a
as	i
out	r
one	m
come	v
people	n
take	v
year	n
him	p
them	p
some	d
want	v
how	r
when	c
which	d
now	r
like	i
other	j
could	v
our	a
into	i
here	r
then	r
than	c
look	v
way	n
more	r
these	d
no	a
thing	n
well	r
because	c
also	r
two	m
use	v
tell	v
good	j
first	m
man	n
day	n
find	v
give	v
more	d
new	j
one	p
us	p
any	d
those	d
very	r
her	p
need	v
back	r
there	r
should	v
even	r
only	r
many	d
really	r
work	v
life	n
why	r
right	r
down	r
on	r
try	v
let	v
something	p
too	r
call	v
woman	n
may	v
still	r
through	i
mean	v
after	i
never	r
no	u
world	n
in	r
feel	v
yeah	u
great	j
last	m
child	n
oh	u
over	i
ask	v
when	r
as	r
school	n
state	n
much	d
talk	v
out	i
keep	v
leave	v
put	v
like	v
help	v
big	j
where	r
same	d
all	r
own	d
while	c
start	v
three	m
high	j
every	a
another	d
become	v
most	r
between	i
happen	v
family	n
over	r
president	n
old	j
yes	u
house	n
show	v
again	r
student	n
so	c
seem	v
might	v
part	n
hear	v
its	a
place	n
problem	n
where	c
believe	v
country	n
always	r
week	n
point	n
hand	n
off	r
play	v
turn	v
few	d
group	n
such	d
against	i
run	v
guy	n
about	r
case	n
question	n
work	n
night	n
live	v
game	n
number	n
write	v
bring	v
without	i
money	n
lot	n
most	d
book	n
system	n
government	n
next	m
city	n
company	n
story	n
today	r
job	n
move	v
must	v
bad	j
friend	n
during	i
begin	v
love	v
each	d
hold	v
different	j
american	j
little	j
before	i
ever	r
word	n
fact	n
right	n
read	v
anything	p
nothing	p
sure	j
small	j
month	n
program	n
maybe	r
right	j
under	i
business	n
home	n
kind	n
stop	v
pay	v
study	n
since	c
issue	n
name	n
idea	n
room	n
percent	n
far	r
away	r
law	n
actually	r
large	j
though	c
provide	v
lose	v
power	n
kid	n
war	n
understand	v
head	n
mother	n
real	j
best	j
team	n
eye	n
long	r
long	j
side	n
water	n
young	j
wait	v
okay	r
both	d
yet	r
after	c
meet	v
service	n
area	n
important	j
person	n
hey	u
thank	v
much	r
someone	p
end	n
change	v
however	r
only	j
around	r
hour	n
everything	p
national	j
four	m
line	n
girl	n
around	i
watch	v
until	c
father	n
sit	v
create	v
information	n
car	n
learn	v
least	r
already	r
kill	v
minute	n
party	n
include	v
stand	v
together	r
back	n
follow	v
health	n
remember	v
often	r
reason	n
speak	v
ago	r
set	v
black	j
member	n
community	n
once	r
social	j
news	n
allow	v
win	v
body	n
lead	v
continue	v
whether	c
enough	r
spend	v
level	n
able	j
political	j
almost	r
boy	n
university	n
before	c
stay	v
add	v
later	r
change	n
five	m
probably	r
center	n
among	i
face	n
public	j
die	v
food	n
else	r
history	n
buy	v
result	n
morning	n
off	i
parent	n
office	n
course	r
send	v
research	n
walk	v
door	n
white	j
several	d
court	n
home	r
grow	v
better	j
open	v
moment	n
including	i
consider	v
both	r
such	i
little	r
within	i
second	m
late	j
street	n
free	j
better	r
everyone	p
policy	n
table	n
sorry	j
care	n
low	j
human	j
please	r
hope	v
1	j
process	n
teacher	n
data	n
offer	v
death	n
whole	j
experience	n
plan	n
easy	j
education	n
build	v
expect	v
fall	v
himself	p
age	n
hard	j
sense	n
across	i
show	n
early	j
college	n
music	n
appear	v
mind	n
class	n
police	n
use	n
effect	n
season	n
tax	n
heart	n
son	n
art	n
possible	j
serve	v
break	v
although	c
end	v
market	n
even	c
air	n
force	n
require	v
foot	n
up	i
listen	v
agree	v
according	i
anyone	p
baby	n
wrong	j
love	n
cut	v
decide	v
republican	n
full	j
behind	i
pass	v
interest	n
sometimes	r
security	n
eat	v
report	v
control	n
rate	n
local	j
suggest	v
report	n
nation	n
sell	v
action	n
support	v
wife	n
decision	n
receive	v
value	n
base	v
pick	v
phone	n
thanks	n
event	n
drive	v
strong	j
reach	v
remain	v
explain	v
site	n
hit	v
pull	v
church	n
model	n
perhaps	r
relationship	n
six	m
fine	j
movie	n
field	n
raise	v
less	r
player	n
couple	n
million	m
themselves	p
record	n
especially	r
difference	n
light	n
development	n
federal	j
former	d
role	n
pretty	r
myself	p
view	n
price	n
effort	n
nice	j
quite	r
along	i
voice	n
finally	r
department	n
either	r
toward	i
leader	n
because	i
photo	n
wear	v
space	n
project	n
return	v
position	n
special	j
million	n
film	n
need	n
major	j
type	n
town	n
article	n
road	n
form	n
chance	n
drug	n
economic	j
situation	n
choose	v
practice	n
cause	v
happy	j
science	n
join	v
teach	v
early	r
develop	v
share	v
yourself	p
carry	v
clear	j
brother	n
matter	n
dead	j
image	n
star	n
cost	n
simply	r
post	n
society	n
picture	n
piece	n
paper	n
energy	n
personal	j
building	n
military	j
open	j
doctor	n
activity	n
exactly	r
american	n
media	n
miss	v
evidence	n
product	n
realize	v
save	v
arm	n
technology	n
catch	v
comment	n
look	n
term	n
color	n
cover	v
describe	v
guess	v
choice	n
source	n
mom	n
soon	r
director	n
international	j
rule	n
campaign	n
ground	n
election	n
face	v
uh	u
check	v
page	n
fight	v
itself	p
test	n
patient	n
produce	v
certain	j
whatever	d
half	d
video	n
support	n
throw	v
third	m
care	v
rest	n
recent	j
available	j
step	n
ready	j
opportunity	n
official	n
oil	n
call	n
organization	n
character	n
single	j
current	j
likely	j
county	n
future	n
dad	n
whose	d
less	d
shoot	v
industry	n
second	n
list	n
general	j
stuff	n
figure	n
attention	n
forget	v
risk	n
no	r
focus	v
short	j
fire	n
dog	n
red	j
hair	n
point	v
condition	n
wall	n
daughter	n
before	r
deal	n
author	n
truth	n
upon	i
husband	n
period	n
series	n
order	n
officer	n
